index	Mots écrits	_id	Pictogramme	Catégories	Conjugaison	schematic	sex	violence	aac	aacColor	skin	hair	downloads
cdu 004	cdu 004	38152	38152.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 159.9 psychologie	cdu 159.9 psychologie	38181	38181.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 316 statistiques	cdu 316 statistiques	38183	38183.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 34	cdu 34	38153	38153.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 379 enseignement	cdu 379 enseignement	38182	38182.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 38	cdu 38	38154	38154.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 39	cdu 39	38155	38155.png	universal decimal classification	0	False	False	False	False	False	True	True	0
cdu 50	cdu 50	38156	38156.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 51	cdu 51	38157	38157.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 53	cdu 53	38158,38159	38158.png,38159.png	universal decimal classification:universal decimal classification	0,0	False,False	False,False	False,False	False,False	False,False	False,True	False,False	0,0
cdu 54	cdu 54	38160	38160.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 55	cdu 55	38161	38161.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 56	cdu 56	38162	38162.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 57	cdu 57	38163	38163.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 58	cdu 58	38164	38164.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 59	cdu 59	38165	38165.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 62	cdu 62	38166	38166.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 63	cdu 63	38167	38167.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 641.5 nourriture et boisson	cdu 641.5 nourriture et boisson	38184	38184.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 658 gestion des entreprises	cdu 658 gestion des entreprises	38186	38186.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 71	cdu 71	38168	38168.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 72	cdu 72	38169	38169.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 74	cdu 74	38170	38170.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 75	cdu 75	38171	38171.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 77	cdu 77	38172	38172.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 78	cdu 78	38173	38173.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 79	cdu 79	38174	38174.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 81	cdu 81	38176	38176.png	universal decimal classification	0	False	False	False	False	False	True	True	0
cdu 82	cdu 82	38175	38175.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 831	cdu 831	38185	38185.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 832	cdu 832	38188	38188.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 833	cdu 833	38187	38187.png	universal decimal classification	0	False	False	False	False	False	True	True	0
cdu 834 essais	cdu 834 essais	38189	38189.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 842 littérature dramatique	cdu 842 littérature dramatique	38190	38190.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 843 fiction	cdu 843 fiction	38191	38191.png	universal decimal classification	0	False	False	False	False	False	True	True	0
cdu 844 essais	cdu 844 essais	38192	38192.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 845 discours	cdu 845 discours	38194	38194.png	universal decimal classification	0	False	False	False	False	False	True	True	0
cdu 846 correspondance	cdu 846 correspondance	38195	38195.png	universal decimal classification	0	False	False	False	False	False	True	True	0
cdu 847 humour	cdu 847 humour	38193	38193.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 85	cdu 85	38177	38177.png	universal decimal classification	0	False	False	False	False	False	True	True	0
cdu 87	cdu 87	38178	38178.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 902 ouvrages divers	cdu 902 ouvrages divers	38196	38196.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 903 dictionnaires encyclopédies	cdu 903 dictionnaires encyclopédies	38197	38197.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 91	cdu 91	38179	38179.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu 929 généalogie	cdu 929 généalogie	38198	38198.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu 93 lives anciens	cdu 93 lives anciens	38180	38180.png	universal decimal classification	0	False	False	False	False	False	True	True	0
cdu aragon	cdu aragon	28369	28369.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu arts sports loisirs	cdu arts sports loisirs	28375	28375.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu bandes dessinées	cdu bandes dessinées	28374	28374.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu biographies	cdu biographies	28370	28370.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu géographie histoire	cdu géographie histoire	28379	28379.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu littérature	cdu littérature	28377	28377.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu mathématiques sciences de la nature	cdu mathématiques sciences de la nature	28372	28372.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu nouvelles	cdu nouvelles	28380	28380.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu philosophie psychologie	cdu philosophie psychologie	28378	28378.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu poésies	cdu poésies	28381	28381.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu religions	cdu religions	28382	28382.png	universal decimal classification	0	False	False	False	False	False	False	False	0
cdu sciences appliquées	cdu sciences appliquées	28371	28371.png	universal decimal classification	0	False	False	False	False	False	True	False	0
cdu sciences sociales	cdu sciences sociales	28373	28373.png	universal decimal classification	0	False	False	False	False	False	True	False	0
ce	ce	16080,16080,16161,16161	16080.png,16080.png,16161.png,16161.png	group,work organization:group,work organization:work organization:work organization	0,0,0,0	True,True,True,True	False,False,False,False	False,False,False,False	False,False,False,False	False,False,False,False	False,False,False,False	False,False,False,False	0,0,0,0
ceci	ceci	7095	7095.png	demonstrative adjective	0	True	False	False	False	False	False	False	0
ceinture	ceinture	2336,27288	2336.png,27288.png	accessories:sport material,swimming,swimming pool	0,0	False,False	False,False	False,False	False,False	False,False	False,False	False,False	0,0
ceinture de natation	ceinture de natation	27288	27288.png	sport material,swimming,swimming pool	0	False	False	False	False	False	False	False	0
ceinture de plomb	ceinture de plomb	31119	31119.png	sport material,diving	0	False	False	False	False	False	False	False	0
ceinture de plongée	ceinture de plongée	31119	31119.png	sport material,diving	0	False	False	False	False	False	False	False	0
ceinture de sécurité	ceinture de sécurité	5962,34655,34671,37299	5962.png,34655.png,34671.png,37299.png	land transport,road safety:vehicle component,aerial transport:vehicle component,aerial transport:vehicle component,land transport	0,0,0,0	False,True,False,True	False,False,False,False	False,False,False,False	False,False,False,False	False,False,False,False	False,True,False,True	False,False,False,False	0,0,0,0
ceintures	ceintures	2336,27288	2336.png,27288.png	accessories:sport material,swimming,swimming pool	0,0	False,False	False,False	False,False	False,False	False,False	False,False	False,False	0,0
ceintures de natation	ceintures de natation	27288	27288.png	sport material,swimming,swimming pool	0	False	False	False	False	False	False	False	0
ceintures de plomb	ceintures de plomb	31119	31119.png	sport material,diving	0	False	False	False	False	False	False	False	0
ceintures de plongée	ceintures de plongée	31119	31119.png	sport material,diving	0	False	False	False	False	False	False	False	0
ceintures de sécurité	ceintures de sécurité	5962,34655,34671,37299	5962.png,34655.png,34671.png,37299.png	land transport,road safety:vehicle component,aerial transport:vehicle component,aerial transport:vehicle component,land transport	0,0,0,0	False,True,False,True	False,False,False,False	False,False,False,False	False,False,False,False	False,False,False,False	False,True,False,True	False,False,False,False	0,0,0,0
cela	cela	6906,7091	6906.png,7091.png	demonstrative adjective:demonstrative adjective	0,0	True,True	False,False	False,False	False,False	False,False	False,False	False,False	0,0
celle-ci	celle-ci	7095	7095.png	demonstrative adjective	0	True	False	False	False	False	False	False	0
celle-là	celle-là	6906,7091	6906.png,7091.png	demonstrative adjective:demonstrative adjective	0,0	True,True	False,False	False,False	False,False	False,False	False,False	False,False	0,0
